,id,verse_number,chapter_number,slug,text,transliteration,word_meanings,translations,commentaries
0,624,1,18,chapter-18-verse-1,"अर्जुन उवाच

संन्यासस्य महाबाहो तत्त्वमिच्छामि वेदितुम्।

त्यागस्य च हृषीकेश पृथक्केशिनिषूदन।।18.1।।
 ","arjuna uvācha
sannyāsasya mahā-bāho tattvam ichchhāmi veditum
tyāgasya cha hṛiṣhīkeśha pṛithak keśhi-niṣhūdana
","arjunaḥ uvācha—Arjun said; sanyāsasya—of renunciation of actions; mahā-bāho—mighty-armed one; tattvam—the truth; ichchhāmi—I wish; veditum—to understand; tyāgasya—of renunciation of desires for enjoying the fruits of actions; cha—and; hṛiṣhīkeśha—Krishna, the Lord of the senses; pṛithak—distinctively; keśhī-niṣhūdana—Krishna, the killer of the Keshi demon
","Arjuna said, ""I desire to know the truth about renunciation and abnegation separately, O Krishna.""","The sentence in English translation is:

""The body is the field, the ten senses are the ten bulls that work unceasingly day and night through the field of objects of the senses. The mind is the supervisor, the individual soul is the tenant, the five vital airs are the five laborers. The Primordial Nature is the mistress of the field, her property, she herself watches over the field vigilantly, she is endowed with the three alities. If the individual soul does evil actions, it sows the seeds of sin, manures with evil, reaps a crop of sin, and undergoes the pains of Samsara. If it does virtuous actions, it sows the good seeds of virtue and reaps a crop of happiness."""
1,625,2,18,chapter-18-verse-2,"श्री भगवानुवाच

काम्यानां कर्मणां न्यासं संन्यासं कवयो विदुः।

सर्वकर्मफलत्यागं प्राहुस्त्यागं विचक्षणाः।।18.2।।
 ","śhrī-bhagavān uvācha
kāmyānāṁ karmaṇāṁ nyāsaṁ sannyāsaṁ kavayo viduḥ
sarva-karma-phala-tyāgaṁ prāhus tyāgaṁ vichakṣhaṇāḥ
","śhrī-bhagavān uvācha—the Supreme Divine Personality said; kāmyānām—desireful; karmaṇām—of actions; nyāsam—giving up; sanyāsam—renunciation of actions; kavayaḥ—the learned; viduḥ—to understand; sarva—all; karma-phala—fruits of actions; tyāgam—renunciation of desires for enjoying the fruits of actions; prāhuḥ—declare; tyāgam—renunciation of desires for enjoying the fruits of actions; vichakṣhaṇāḥ—the wise
",Hindi Translation By Swami Ramsukhdas,"Here is the translation of the given sentence entirely into English:

""Many sages (such as Vasishtha) have spoken about it (the true nature of the field and its knower) since ancient times. The ancient hymns (such as the Rig Veda) have explained this in various ways. The Brahma Sutras refer to the Vedanta Sutras written by Vyasa or Badarayanacharya to reconcile mutually contradictory passages in the Upanishads. A study of the Brahma Sutras is necessary to comprehend the esoteric significance of the Upanishads. The Braham Sutras are also known as the Sariraka Sutras because fifteen sutras in the third pada of the second chapter deal with the body (Sarira or Kshetra). The true nature of the field and its knower has also been taught in the Brahma Sutras, which deal with Brahman, such as 'Only as the Self, let a man meditate on It' (Brihadaranyaka Upanishad I.4.7). They are full of reasoning, convincing, and decisive. There is no doubt in the words or passages that treat of Brahman."""
2,626,3,18,chapter-18-verse-3,"त्याज्यं दोषवदित्येके कर्म प्राहुर्मनीषिणः।

यज्ञदानतपःकर्म न त्याज्यमिति चापरे।।18.3।।
 ","tyājyaṁ doṣha-vad ity eke karma prāhur manīṣhiṇaḥ
yajña-dāna-tapaḥ-karma na tyājyam iti chāpare
","tyājyam—should be given up; doṣha-vat—as evil; iti—thus; eke—some; karma—actions; prāhuḥ—declare; manīṣhiṇaḥ—the learned; yajña—sacrifice; dāna—charity; tapaḥ—penance; karma—acts; na—never; tyājyam—should be abandoned; iti—thus; cha—and; apare—others
","Some philosophers declare that actions should be abandoned as evil; while others declare that acts of sacrifice, gift, and austerity should not be relinquished.","Here is the translation of the given sentence entirely into English:

""The great elements? egoism? intellect? the senses and mind are all absorbed in the Unmanifested at the time of the cosmic dissolution. Mind is Maya. Mind is Avidya (ignorance). Mind is at the root of all activities. It gives strength to desires? fosters fear and builds castles in the air. It confers force on egoism and stimulates, aspirations. Every tendency has its origin in the mind. It augments passions? gives strength to hope and awakens the sense of duality. It increases ignorance and plunges the senses in the ocean of sense objects. It creates distinctions and differences. It separates? divides and limits. It is a strong wall or an iron barrier that stands between the individual soul and the Absolute. It is this mind that has brought Brahman to the condition of the individual soul. It is the storehouse of error? cravings? doubt? delusion and ignorance. It is an ever-revolving wheel that generates thoughts. It is a miraculous thought-producing machine. It creates at one moment. It destroys at the next moment."""
3,627,4,18,chapter-18-verse-4,निश्चयं श्रृणु मे तत्र त्यागे भरतसत्तम।त्यागो हि पुरुषव्याघ्र त्रिविधः संप्रकीर्तितः।।18.4।।,"niśhchayaṁ śhṛiṇu me tatra tyāge bharata-sattama
tyāgo hi puruṣha-vyāghra tri-vidhaḥ samprakīrtitaḥ
","niśhchayam—conclusion; śhṛiṇu—hear; me—my; tatra—there; tyāge—about renunciation of desires for enjoying the fruits of actions; bharata-sat-tama—best of the Bharatas; tyāgaḥ—renunciation of desires for enjoying the fruits of actions; hi—indeed; puruṣha-vyāghra—tiger amongst men; tri-vidhaḥ—of three kinds; samprakīrtitaḥ—declared
","O the most excellent among the descendants of Bharata, hear from Me the firm conclusion regarding that tyaga. For, O greatest among men, tyaga has been clearly declared to be of three kinds.","Here is the translation of the given sentence in English:

13.7 desires? hatred? pleasure? pain? aggregate? intelligence? firmness? These are mental states and properties of the body according to the Sankhya school of thought. Desire is a modification of the mind, born of Rajas, which urges a person to enjoy an object again once they have experienced its pleasure. Hatred is a negative modification that arises when a person experiences pain from an object. Pleasure and pain are both knowable fields. The aggregate or combination of the body and senses is also a field. Intelligence is a mental state that manifests itself in the aggregate, much like fire manifests itself in iron. Firmness or courage is a Sattvic modification of the mind that helps sustain the body and senses when they are depressed or agitated. The five elements in the body fight amongst themselves, but they cooperate harmoniously to carry out the body's functions. Desire, hatred, pleasure, pain, aggregate, intelligence, and firmness are all knowable fields."
4,628,5,18,chapter-18-verse-5,यज्ञदानतपःकर्म न त्याज्यं कार्यमेव तत्।यज्ञो दानं तपश्चैव पावनानि मनीषिणाम्।।18.5।।,"yajña-dāna-tapaḥ-karma na tyājyaṁ kāryam eva tat
yajño dānaṁ tapaśh chaiva pāvanāni manīṣhiṇām
","yajña—sacrifice; dāna—charity; tapaḥ—penance; karma—actions; na—never; tyājyam—should be abandoned; kāryam eva—must certainly be performed; tat—that; yajñaḥ—sacrifice; dānam—charity; tapaḥ—penance; cha—and; eva—indeed; pāvanāni—purifying; manīṣhiṇām—for the wise
","(a) The acts of sacrifice, gifts, and austerities should not be relinquished; but should be performed...

(b) ...For sacrifices, gifts, and austerities are the means of purification for the wise.","Here are the translations of the Hindi words and phrases in the given sentence:

1. अमानित्वम् - Humility
2. अदम्भित्वम् - Unpretentiousness
3. अहिंसा - Noninjury
4. क्षान्तिः - Forgiveness
5. आर्जवम् - Uprightness
6. आचार्योपासनम् - Service of the teacher
7. शौचम् - Purity
8. स्थैर्यam् - Steadiness
9. आत्मविनिग्रहः - Self-control"
5,629,6,18,chapter-18-verse-6,एतान्यपि तु कर्माणि सङ्गं त्यक्त्वा फलानि च।कर्तव्यानीति मे पार्थ निश्िचतं मतमुत्तमम्।।18.6।।,"etāny api tu karmāṇi saṅgaṁ tyaktvā phalāni cha
kartavyānīti me pārtha niśhchitaṁ matam uttamam
","etāni—these; api tu—must certainly be; karmāṇi—activities; saṅgam—attachment; tyaktvā—giving up; phalāni—rewards; cha—and; kartavyāni—should be done as duty; iti—such; me—my; pārtha—Arjun, the son of Pritha; niśhchitam—definite; matam—opinion; uttamam—supreme
","It is My decided and final view that even these acts should be done, O Arjuna, with relinquishment of attachment and the forsaking of the fruits thereof.","The sentence ""13.9 इन्द्रियार्थेषु in senseobjects? वैराग्यम् dispassion? अनहङ्कारः absence of egoism? एव even? च and? जन्ममृत्युजराव्याधिदुःखदोषानुदर्शनम् perception of evil in birth?"" can be translated into English as:

""Indifference to sense objects? Dispassion? Absence of egoism? Even? And? Perception of evil in birth?""

In this sentence, the words ""इन्द्रियार्थेषु"" (indriyārtheṣu), ""वैराग्यम्"" (vairāgyam), ""अनहङ्कारः"" (anahankāraḥ), and ""जन्ममृत्युजराव्याधिदुःखदोषानुदर्शनम्"" (janmamṛtyujarāvyaṁ adhibhūtadūṣa-anudarśanam) are all Sanskrit words. The sentence is a philosophical passage from the Bhagavat Gita, which is a Hindu scripture."
6,630,7,18,chapter-18-verse-7,नियतस्य तु संन्यासः कर्मणो नोपपद्यते।मोहात्तस्य परित्यागस्तामसः परिकीर्तितः।।18.7।।,"niyatasya tu sannyāsaḥ karmaṇo nopapadyate
mohāt tasya parityāgas tāmasaḥ parikīrtitaḥ
","niyatasya—of prescribed duties; tu—but; sanyāsaḥ—renunciation; karmaṇaḥ—actions; na—never; upapadyate—to be performed; mohāt—deluded; tasya—of that; parityāgaḥ—renunciation; tāmasaḥ—in the mode of ignorance; parikīrtitaḥ—has been declared
",Abandoning one's daily obligatory acts is not justifiable; giving up those through delusion is said to be rooted in tamas.,"Sure, I can help you with that! Here is the translation of the given sentence into English:

""Nonattachment (Asakti) means the absence of liking for objects. False identification (Anabhishvangah) refers to intense attachment to someone or something, including one's spouse, children, or other close relatives. The wise have no attachment to their homes, considering them as public inns on the side of a public road. Evenmindedness (Nityam) or equanimity is an index of knowledge, as the man of wisdom is neither elated when he gets desirable objects nor grieves when he attains undesirable objects. Nonattachment, absence of affection, and evenmindedness are all conducive to the attainment of knowledge of the Self."""
7,631,8,18,chapter-18-verse-8,दुःखमित्येव यत्कर्म कायक्लेशभयात्त्यजेत्।स कृत्वा राजसं त्यागं नैव त्यागफलं लभेत्।।18.8।।,"duḥkham ity eva yat karma kāya-kleśha-bhayāt tyajet
sa kṛitvā rājasaṁ tyāgaṁ naiva tyāga-phalaṁ labhet
","duḥkham—troublesome; iti—as; eva—indeed; yat—which; karma—duties; kāya—bodily; kleśha—discomfort; bhayāt—out of fear; tyajet—giving up; saḥ—they; kṛitvā—having done; rājasam—in the mode of passion; tyāgam—renunciation of desires for enjoying the fruits of actions; na—never; eva—certainly; tyāga—renunciation of desires for enjoying the fruits of actions; phalam—result; labhet—attain
","Whatever action one may relinquish merely as being painful, out of fear of physical suffering, he, having resorted to renunciation based on rajas, will surely not acquire the fruits of renunciation.",13.11 Me alone in Me? च and? Yoga of nonseparation? Bhakti devotion? Avyabhichari ni unswerving? Viviktadesasevitvam Resort to solitary places? Arati distaste? Janasamsadhi in the society of men.
8,632,9,18,chapter-18-verse-9,कार्यमित्येव यत्कर्म नियतं क्रियतेऽर्जुन।सङ्गं त्यक्त्वा फलं चैव स त्यागः सात्त्विको मतः।।18.9।।,"kāryam ity eva yat karma niyataṁ kriyate ‘rjuna
saṅgaṁ tyaktvā phalaṁ chaiva sa tyāgaḥ sāttviko mataḥ
","kāryam—as a duty; iti—as; eva—indeed; yat—which; karma niyatam—obligatory actions; kriyate—are performed; arjuna—Arjun; saṅgam—attachment; tyaktvā—relinquishing; phalam—reward; cha—and; eva—certainly; saḥ—such; tyāgaḥ—renunciation of desires for enjoying the fruits of actions; sāttvikaḥ—in the mode of goodness; mataḥ—considered
","When actions are performed as they ought to be done, O Arjuna, renouncing attachment and the results thereof, such abandonment is regarded as Sattvika.","13.12 अध्यात्मज्ञाननित्यत्वम् constancy in Self-knowledge? तत्त्वज्ञानार्थदर्शनम् perception of the end of true knowledge? एतत् this? ज्ञानम् knowledge? इति thus? प्रोक्तम् declared? अज्ञानam ignorance? यत् which? अतः from it? अन्यथा opposed.

In English:
The liberated sage has constant awareness of the Self. He knows that knowledge of the Self alone is permanent and all other learning relating to this world is ignorance. He knows that the knowledge which leads to the realization of the Self is the only truth. These attributes, starting with humility, are declared to be knowledge because they are conducive to knowledge and are the means to knowledge. The fruit of this knowledge of the Self is deliverance from the cycle of births and deaths. The spiritual aspirant should always keep the end of knowledge in view. Only then will he attempt to develop the various virtues that are conducive to the attainment of knowledge of the Self. What is opposed to knowledge? Such as lust, anger, greed, pride, hypocrisy, attachment, cunningness, injuring others? Ignorance. These evil traits, which are the products of ignorance, bind a person to samsara. If you wish to attain knowledge of the Self, you will have to eradicate these evil traits, which stand as stumbling blocks on the path of salvation. If you cultivate the opposite virtues, the evil traits will die by themselves, just as plants deprived of water in a garden die by themselves. It is difficult to eradicate the evil traits by fighting against them."
9,633,10,18,chapter-18-verse-10,न द्वेष्ट्यकुशलं कर्म कुशले नानुषज्जते।त्यागी सत्त्वसमाविष्टो मेधावी छिन्नसंशयः।।18.10।।,"na dveṣhṭy akuśhalaṁ karma kuśhale nānuṣhajjate
tyāgī sattva-samāviṣhṭo medhāvī chhinna-sanśhayaḥ
","na—neither; dveṣhṭi—hate; akuśhalam—disagreeable; karma—work; kuśhale—to an agreeable; na—nor; anuṣhajjate—seek; tyāgī—one who renounces desires for enjoying the fruits of actions; sattva—in the mode of goodness; samāviṣhṭaḥ—endowed with; medhāvī—intelligent; chhinna-sanśhayaḥ—those who have no doubts
","One who has abandoned, imbued with Sattva, wise, and whose doubts have been dispelled—such a person neither hates disagreeable acts nor clings to agreeable ones.","The sentence ""13.13 ज्ञेयम् has to be known? यत् which? तत् that? प्रवक्ष्यामि (I) will declare? यत् which? ज्ञात्वा knowing? अमृतम् immortality? अश्नुते (one) attains to? अनादिमत् the beginningless? परम् supreme? ब्रह्म Brahman? न not? सत् being? तत् that? न not? असat nonbeing?"" can be translated into English as:

""What has to be known? Which one? That (Brahman) I will declare. Knowledge of which? The unchanging, immortal Brahman. Attains to what? The beginningless, supreme Brahman. Not this (nonbeing), not that (being).""

In this passage, the author is discussing the nature of Brahman, the ultimate reality and absolute truth. The author is emphasizing that Brahman cannot be defined or described using ordinary language or concepts, as it transcends all limitations and categories. Brahman is beyond being and nonbeing, and is the unchanging, immortal reality that underlies all existence."
